Product Name,Category,Ingredients,Quantity Sold,Price,Cost per Unit,Total Revenue,Discount Applied,Customer Segment,Order Date,Expiration Date,Shelf Life (Days),Customer Age,Customer Gender,Payment Method,Order Type,Wastage Quantity,Review Rating,Packaging Type,When the Product Was Bought
Brownie,Pastries,"Butter, Milk, Sugar",2,210,126.0,420,True,Individual,2025-04-20,2025-04-24,4,27,Female,Credit Card,Bulk,2,3.9,Cloth Bag,2025-04-20
Chocolate Cake,Baked Goods,"Sugar, Butter, Milk",3,158,94.8,474,False,Business,2025-04-10,2025-04-13,3,32,Female,Credit Card,Single,2,2.5,Paper Box,2025-04-10
Chocolate Cake,Pastries,"Cocoa, Flour, Sugar",2,177,106.2,354,False,Individual,2025-04-20,2025-04-25,5,34,Female,Cash,Single,1,3.7,Paper Box,2025-04-20
Sourdough,Baked Goods,"Flour, Milk, Sugar",2,274,164.4,548,True,Business,2025-04-10,2025-04-16,6,31,Female,Debit Card,Single,2,4.7,Plastic Wrap,2025-04-10
Cheese Pastry,Tarts,"Cocoa, Flour, Milk",2,257,154.2,514,True,Family,2025-04-10,2025-04-13,3,34,Male,Cash,Single,0,4.9,Paper Box,2025-04-10
Brownie,Cupcakes,"Sugar, Eggs, Baking Powder",2,258,154.8,516,False,Individual,2025-04-13,2025-04-18,5,27,Other,Credit Card,Single,2,4.7,Cloth Bag,2025-04-13
Cheese Pastry,Cakes,"Butter, Sugar, Milk",3,100,60.0,300,False,Family,2025-04-14,2025-04-19,5,34,Male,Cash,Bulk,2,3.1,Plastic Wrap,2025-04-14
Cheese Pastry,Baked Goods,"Flour, Baking Powder, Milk",2,162,97.2,324,True,Individual,2025-04-20,2025-04-23,3,50,Female,Cash,Bulk,2,3.5,Plastic Wrap,2025-04-20
Brownie,Tarts,"Butter, Sugar, Milk",1,134,80.4,134,False,Business,2025-04-24,2025-04-30,6,24,Other,Cash,Single,0,3.9,Paper Box,2025-04-24
Brownie,Baked Goods,"Flour, Sugar, Baking Powder",1,193,115.8,193,True,Individual,2025-04-21,2025-04-26,5,39,Male,Cash,Single,1,4.4,Cloth Bag,2025-04-21
Cheese Pastry,Baked Goods,"Sugar, Butter, Flour",2,274,164.4,548,True,Family,2025-04-24,2025-04-27,3,32,Male,Cash,Bulk,2,2.1,Plastic Wrap,2025-04-24
Croissant,Pastries,"Flour, Butter, Baking Powder",2,84,50.4,168,False,Family,2025-04-24,2025-04-29,5,39,Other,Debit Card,Bulk,2,3.5,Plastic Wrap,2025-04-24
Chocolate Cake,Baked Goods,"Cocoa, Milk, Eggs",2,147,88.2,294,False,Individual,2025-04-21,2025-04-24,3,21,Male,UPI,Bulk,1,2.1,Cloth Bag,2025-04-21
Cheese Pastry,Pastries,"Sugar, Cocoa, Eggs",3,278,166.8,834,False,Individual,2025-04-14,2025-04-19,5,56,Male,Cash,Bulk,1,1.1,Plastic Wrap,2025-04-14
Cheese Pastry,Pastries,"Cocoa, Sugar, Baking Powder",2,103,61.8,206,False,Individual,2025-04-14,2025-04-18,4,34,Female,Credit Card,Single,1,2.9,Plastic Wrap,2025-04-14
Cheese Pastry,Baked Goods,"Sugar, Eggs, Baking Powder",3,122,73.2,366,False,Individual,2025-04-10,2025-04-15,5,37,Male,Debit Card,Bulk,1,3.5,Plastic Wrap,2025-04-10
Fruit Tart,Baked Goods,"Eggs, Sugar, Baking Powder",2,219,131.4,438,False,Individual,2025-04-12,2025-04-15,3,25,Other,Cash,Bulk,1,4.8,Plastic Wrap,2025-04-12
Chocolate Cake,Baked Goods,"Baking Powder, Eggs, Flour",1,183,109.8,183,False,Business,2025-04-13,2025-04-16,3,31,Other,UPI,Single,2,3.3,Cloth Bag,2025-04-13
Croissant,Cakes,"Butter, Milk, Eggs",1,85,51.0,85,True,Family,2025-04-19,2025-04-24,5,25,Other,Credit Card,Single,2,2.2,Paper Box,2025-04-19
Fruit Tart,Baked Goods,"Butter, Flour, Milk",1,283,169.8,283,True,Business,2025-04-17,2025-04-23,6,52,Male,Debit Card,Bulk,2,1.5,Cloth Bag,2025-04-17
Muffin,Cakes,"Eggs, Sugar, Milk",2,177,106.2,354,False,Individual,2025-04-15,2025-04-18,3,36,Other,UPI,Bulk,2,4.0,Cloth Bag,2025-04-15
Sourdough,Pastries,"Flour, Butter, Baking Powder",3,183,109.8,549,True,Business,2025-04-10,2025-04-15,5,37,Other,UPI,Single,1,1.2,Paper Box,2025-04-10
Brownie,Cakes,"Cocoa, Flour, Sugar",2,189,113.4,378,True,Family,2025-04-22,2025-04-26,4,29,Female,Debit Card,Bulk,2,3.2,Cloth Bag,2025-04-22
Sourdough,Tarts,"Flour, Baking Powder, Cocoa",1,288,172.8,288,True,Business,2025-04-13,2025-04-16,3,44,Male,Credit Card,Bulk,2,4.6,Cloth Bag,2025-04-13
Brownie,Pastries,"Baking Powder, Eggs, Butter",1,237,142.2,237,True,Family,2025-04-10,2025-04-13,3,59,Male,UPI,Bulk,1,2.1,Paper Box,2025-04-10
Croissant,Pastries,"Milk, Flour, Eggs",1,203,121.8,203,False,Individual,2025-04-17,2025-04-22,5,23,Male,Cash,Bulk,2,4.9,Cloth Bag,2025-04-17
Fruit Tart,Tarts,"Sugar, Flour, Butter",3,213,127.8,639,True,Individual,2025-04-20,2025-04-26,6,26,Female,Cash,Bulk,2,2.2,Plastic Wrap,2025-04-20
Fruit Tart,Baked Goods,"Eggs, Cocoa, Milk",2,271,162.6,542,False,Individual,2025-04-10,2025-04-13,3,26,Other,Debit Card,Single,2,3.8,Cloth Bag,2025-04-10
Croissant,Pastries,"Cocoa, Milk, Sugar",1,205,123.0,205,True,Family,2025-04-14,2025-04-19,5,50,Female,Credit Card,Single,1,3.3,Plastic Wrap,2025-04-14
Fruit Tart,Baked Goods,"Eggs, Flour, Baking Powder",1,193,115.8,193,False,Business,2025-04-17,2025-04-21,4,33,Female,Cash,Single,2,3.4,Plastic Wrap,2025-04-17
Cheese Pastry,Cakes,"Eggs, Butter, Flour",1,129,77.4,129,True,Business,2025-04-21,2025-04-25,4,20,Other,UPI,Single,0,4.4,Plastic Wrap,2025-04-21
Sourdough,Cupcakes,"Eggs, Cocoa, Sugar",1,143,85.8,143,False,Family,2025-04-17,2025-04-21,4,58,Male,UPI,Bulk,0,1.2,Plastic Wrap,2025-04-17
Vanilla Cupcake,Cakes,"Butter, Baking Powder, Cocoa",2,189,113.4,378,False,Business,2025-04-16,2025-04-22,6,53,Other,Debit Card,Single,2,4.5,Paper Box,2025-04-16
Brownie,Pastries,"Baking Powder, Milk, Cocoa",2,68,40.8,136,True,Business,2025-04-11,2025-04-16,5,29,Other,UPI,Single,2,2.0,Cloth Bag,2025-04-11
Muffin,Cupcakes,"Cocoa, Baking Powder, Butter",2,54,32.4,108,False,Individual,2025-04-17,2025-04-22,5,27,Other,Debit Card,Bulk,0,2.1,Cloth Bag,2025-04-17
Croissant,Cakes,"Baking Powder, Milk, Eggs",3,65,39.0,195,False,Family,2025-04-12,2025-04-15,3,60,Female,Cash,Single,2,2.4,Plastic Wrap,2025-04-12
Fruit Tart,Baked Goods,"Sugar, Baking Powder, Eggs",2,167,100.2,334,True,Business,2025-04-20,2025-04-24,4,29,Female,Debit Card,Bulk,1,3.5,Plastic Wrap,2025-04-20
Fruit Tart,Tarts,"Butter, Cocoa, Flour",2,68,40.8,136,False,Family,2025-04-19,2025-04-24,5,29,Female,UPI,Bulk,2,3.3,Cloth Bag,2025-04-19
Sourdough,Pastries,"Cocoa, Sugar, Milk",2,56,33.6,112,True,Family,2025-04-21,2025-04-25,4,59,Other,Credit Card,Bulk,0,1.9,Plastic Wrap,2025-04-21
Sourdough,Pastries,"Baking Powder, Butter, Milk",3,129,77.4,387,False,Business,2025-04-21,2025-04-26,5,42,Female,Credit Card,Bulk,1,1.8,Paper Box,2025-04-21
Croissant,Baked Goods,"Cocoa, Eggs, Baking Powder",2,152,91.2,304,False,Business,2025-04-16,2025-04-21,5,27,Male,Credit Card,Bulk,0,3.5,Paper Box,2025-04-16
Croissant,Pastries,"Sugar, Flour, Cocoa",1,173,103.8,173,True,Family,2025-04-18,2025-04-24,6,37,Male,Credit Card,Bulk,2,1.7,Plastic Wrap,2025-04-18
Muffin,Cupcakes,"Sugar, Milk, Flour",3,207,124.2,621,False,Business,2025-04-12,2025-04-17,5,28,Other,Credit Card,Single,2,3.4,Plastic Wrap,2025-04-12
Sourdough,Cupcakes,"Butter, Baking Powder, Milk",1,55,33.0,55,True,Family,2025-04-19,2025-04-23,4,55,Female,Cash,Single,2,1.5,Plastic Wrap,2025-04-19
Sourdough,Pastries,"Cocoa, Flour, Butter",3,79,47.4,237,True,Business,2025-04-22,2025-04-28,6,46,Female,Cash,Single,0,2.1,Cloth Bag,2025-04-22
Fruit Tart,Tarts,"Baking Powder, Flour, Sugar",2,74,44.4,148,False,Family,2025-04-14,2025-04-20,6,42,Other,Cash,Bulk,0,1.9,Cloth Bag,2025-04-14
Croissant,Cupcakes,"Cocoa, Eggs, Flour",1,56,33.6,56,False,Family,2025-04-21,2025-04-25,4,29,Other,Debit Card,Bulk,0,4.5,Cloth Bag,2025-04-21
Chocolate Cake,Cupcakes,"Cocoa, Sugar, Flour",2,168,100.8,336,False,Family,2025-04-16,2025-04-22,6,20,Male,Credit Card,Bulk,2,4.1,Cloth Bag,2025-04-16
Croissant,Cakes,"Sugar, Baking Powder, Milk",3,125,75.0,375,True,Individual,2025-04-11,2025-04-15,4,45,Other,UPI,Single,2,2.5,Paper Box,2025-04-11
Sourdough,Pastries,"Sugar, Eggs, Milk",1,169,101.4,169,False,Business,2025-04-13,2025-04-16,3,42,Other,UPI,Single,2,1.4,Plastic Wrap,2025-04-13
Sourdough,Cakes,"Sugar, Flour, Baking Powder",2,144,86.4,288,False,Business,2025-04-11,2025-04-17,6,55,Other,UPI,Bulk,0,1.5,Paper Box,2025-04-11
Fruit Tart,Pastries,"Cocoa, Eggs, Milk",3,231,138.6,693,True,Individual,2025-04-19,2025-04-24,5,57,Male,Cash,Single,0,1.1,Paper Box,2025-04-19
Chocolate Cake,Pastries,"Milk, Flour, Baking Powder",3,75,45.0,225,True,Individual,2025-04-12,2025-04-16,4,57,Female,UPI,Single,0,2.0,Plastic Wrap,2025-04-12
Cheese Pastry,Cakes,"Sugar, Cocoa, Flour",1,219,131.4,219,False,Individual,2025-04-22,2025-04-26,4,21,Male,Debit Card,Single,2,2.0,Plastic Wrap,2025-04-22
Fruit Tart,Cakes,"Milk, Flour, Eggs",1,88,52.8,88,False,Individual,2025-04-17,2025-04-22,5,55,Male,Debit Card,Single,0,3.4,Paper Box,2025-04-17
Chocolate Cake,Pastries,"Milk, Eggs, Butter",1,241,144.6,241,True,Family,2025-04-20,2025-04-24,4,39,Female,Debit Card,Single,0,1.1,Cloth Bag,2025-04-20
Fruit Tart,Baked Goods,"Eggs, Baking Powder, Butter",3,193,115.8,579,False,Individual,2025-04-19,2025-04-22,3,23,Female,Debit Card,Single,2,3.7,Plastic Wrap,2025-04-19
Chocolate Cake,Pastries,"Milk, Butter, Eggs",2,177,106.2,354,False,Business,2025-04-13,2025-04-16,3,25,Female,Cash,Bulk,1,1.1,Paper Box,2025-04-13
Vanilla Cupcake,Pastries,"Baking Powder, Eggs, Sugar",2,259,155.4,518,True,Individual,2025-04-12,2025-04-15,3,26,Male,UPI,Bulk,0,2.8,Plastic Wrap,2025-04-12
Chocolate Cake,Pastries,"Butter, Eggs, Milk",1,173,103.8,173,False,Family,2025-04-12,2025-04-17,5,42,Male,UPI,Bulk,2,1.1,Paper Box,2025-04-12
Croissant,Cakes,"Sugar, Flour, Cocoa",3,62,37.2,186,True,Individual,2025-04-22,2025-04-27,5,20,Male,Debit Card,Bulk,0,3.4,Cloth Bag,2025-04-22
Chocolate Cake,Baked Goods,"Flour, Baking Powder, Cocoa",3,283,169.8,849,True,Business,2025-04-21,2025-04-25,4,41,Male,Debit Card,Bulk,0,4.2,Cloth Bag,2025-04-21
Fruit Tart,Cakes,"Milk, Sugar, Flour",2,232,139.2,464,False,Family,2025-04-12,2025-04-18,6,34,Female,UPI,Single,2,4.6,Paper Box,2025-04-12
Muffin,Cupcakes,"Sugar, Cocoa, Milk",1,293,175.8,293,False,Family,2025-04-23,2025-04-26,3,39,Female,Cash,Bulk,2,4.4,Cloth Bag,2025-04-23
Brownie,Cakes,"Baking Powder, Flour, Milk",1,110,66.0,110,True,Family,2025-04-15,2025-04-20,5,30,Female,Credit Card,Bulk,0,2.1,Plastic Wrap,2025-04-15
Cheese Pastry,Cakes,"Sugar, Butter, Milk",1,260,156.0,260,True,Family,2025-04-10,2025-04-16,6,31,Male,Cash,Bulk,2,2.9,Cloth Bag,2025-04-10
Chocolate Cake,Baked Goods,"Baking Powder, Flour, Milk",3,217,130.2,651,False,Business,2025-04-23,2025-04-27,4,24,Other,Credit Card,Bulk,0,3.5,Plastic Wrap,2025-04-23
Sourdough,Baked Goods,"Baking Powder, Butter, Cocoa",2,262,157.2,524,True,Business,2025-04-16,2025-04-20,4,29,Male,Debit Card,Single,0,4.0,Cloth Bag,2025-04-16
Muffin,Cupcakes,"Butter, Baking Powder, Eggs",1,220,132.0,220,True,Family,2025-04-21,2025-04-27,6,30,Other,Credit Card,Single,2,3.5,Plastic Wrap,2025-04-21
Cheese Pastry,Pastries,"Milk, Sugar, Cocoa",2,156,93.6,312,False,Family,2025-04-22,2025-04-27,5,38,Male,Credit Card,Bulk,2,3.8,Paper Box,2025-04-22
Muffin,Baked Goods,"Milk, Eggs, Baking Powder",3,251,150.6,753,True,Family,2025-04-18,2025-04-23,5,40,Male,Credit Card,Bulk,0,2.0,Paper Box,2025-04-18
Cheese Pastry,Cakes,"Baking Powder, Butter, Cocoa",2,96,57.6,192,False,Family,2025-04-19,2025-04-22,3,26,Female,Cash,Bulk,1,2.0,Cloth Bag,2025-04-19
Croissant,Baked Goods,"Flour, Milk, Baking Powder",1,121,72.6,121,True,Family,2025-04-17,2025-04-20,3,47,Female,Cash,Single,0,2.8,Plastic Wrap,2025-04-17
Vanilla Cupcake,Cupcakes,"Cocoa, Flour, Butter",1,200,120.0,200,False,Individual,2025-04-18,2025-04-24,6,34,Female,Cash,Bulk,2,4.3,Cloth Bag,2025-04-18
Vanilla Cupcake,Cakes,"Sugar, Cocoa, Butter",1,296,177.6,296,False,Business,2025-04-16,2025-04-19,3,18,Other,Cash,Bulk,1,2.9,Plastic Wrap,2025-04-16
Sourdough,Cupcakes,"Sugar, Butter, Eggs",2,200,120.0,400,True,Family,2025-04-11,2025-04-15,4,50,Other,Cash,Single,1,2.6,Cloth Bag,2025-04-11
Croissant,Pastries,"Cocoa, Milk, Baking Powder",2,102,61.2,204,True,Individual,2025-04-23,2025-04-28,5,30,Other,Credit Card,Single,1,2.8,Paper Box,2025-04-23
Vanilla Cupcake,Baked Goods,"Baking Powder, Flour, Milk",3,126,75.6,378,True,Individual,2025-04-18,2025-04-23,5,51,Male,Cash,Single,1,2.8,Cloth Bag,2025-04-18
Muffin,Pastries,"Flour, Eggs, Milk",3,210,126.0,630,False,Family,2025-04-22,2025-04-27,5,26,Female,UPI,Bulk,1,4.2,Cloth Bag,2025-04-22
Vanilla Cupcake,Cakes,"Butter, Cocoa, Sugar",2,56,33.6,112,False,Family,2025-04-22,2025-04-26,4,27,Male,Cash,Single,0,1.9,Plastic Wrap,2025-04-22
Muffin,Baked Goods,"Butter, Baking Powder, Milk",2,125,75.0,250,True,Business,2025-04-11,2025-04-15,4,42,Male,UPI,Bulk,1,2.0,Plastic Wrap,2025-04-11
Fruit Tart,Baked Goods,"Baking Powder, Cocoa, Flour",1,80,48.0,80,False,Individual,2025-04-10,2025-04-13,3,22,Male,Debit Card,Single,1,3.1,Paper Box,2025-04-10
Fruit Tart,Baked Goods,"Eggs, Flour, Milk",2,283,169.8,566,True,Family,2025-04-22,2025-04-25,3,34,Other,Credit Card,Bulk,2,4.6,Plastic Wrap,2025-04-22
Cheese Pastry,Tarts,"Flour, Milk, Baking Powder",2,73,43.8,146,True,Family,2025-04-18,2025-04-22,4,42,Female,Debit Card,Single,1,3.4,Plastic Wrap,2025-04-18
Sourdough,Tarts,"Baking Powder, Cocoa, Sugar",2,199,119.4,398,True,Family,2025-04-19,2025-04-23,4,56,Female,Cash,Single,0,1.7,Paper Box,2025-04-19
Muffin,Cakes,"Flour, Cocoa, Milk",2,270,162.0,540,False,Individual,2025-04-14,2025-04-18,4,42,Other,Credit Card,Single,1,2.7,Cloth Bag,2025-04-14
Muffin,Baked Goods,"Eggs, Baking Powder, Flour",1,175,105.0,175,False,Individual,2025-04-14,2025-04-18,4,26,Female,Credit Card,Bulk,1,2.4,Plastic Wrap,2025-04-14
Croissant,Baked Goods,"Eggs, Flour, Baking Powder",3,135,81.0,405,False,Individual,2025-04-21,2025-04-25,4,52,Other,Debit Card,Bulk,1,3.2,Paper Box,2025-04-21
Muffin,Pastries,"Butter, Eggs, Baking Powder",1,112,67.2,112,True,Individual,2025-04-14,2025-04-18,4,22,Other,Debit Card,Bulk,0,3.8,Plastic Wrap,2025-04-14
Brownie,Baked Goods,"Cocoa, Eggs, Baking Powder",1,222,133.2,222,False,Business,2025-04-17,2025-04-22,5,24,Female,UPI,Bulk,2,3.1,Cloth Bag,2025-04-17
Croissant,Cakes,"Eggs, Cocoa, Butter",1,233,139.8,233,False,Business,2025-04-18,2025-04-21,3,55,Female,Credit Card,Single,0,2.6,Cloth Bag,2025-04-18
Chocolate Cake,Baked Goods,"Eggs, Sugar, Cocoa",1,223,133.8,223,True,Individual,2025-04-13,2025-04-19,6,36,Male,UPI,Bulk,1,2.6,Paper Box,2025-04-13
Cheese Pastry,Cakes,"Milk, Sugar, Cocoa",3,255,153.0,765,False,Family,2025-04-16,2025-04-21,5,38,Male,Cash,Single,2,2.9,Cloth Bag,2025-04-16
Croissant,Tarts,"Butter, Milk, Eggs",2,59,35.4,118,True,Family,2025-04-22,2025-04-25,3,60,Male,Debit Card,Bulk,1,3.8,Cloth Bag,2025-04-22
Cheese Pastry,Cakes,"Eggs, Baking Powder, Flour",2,214,128.4,428,True,Business,2025-04-12,2025-04-16,4,47,Other,Cash,Single,1,1.5,Paper Box,2025-04-12
Muffin,Baked Goods,"Baking Powder, Sugar, Butter",1,143,85.8,143,True,Family,2025-04-12,2025-04-18,6,20,Other,UPI,Single,0,1.8,Cloth Bag,2025-04-12
Cheese Pastry,Baked Goods,"Milk, Cocoa, Eggs",1,268,160.8,268,True,Individual,2025-04-11,2025-04-14,3,50,Male,Debit Card,Bulk,2,1.7,Paper Box,2025-04-11
Vanilla Cupcake,Baked Goods,"Eggs, Baking Powder, Cocoa",3,110,66.0,330,False,Family,2025-04-13,2025-04-19,6,37,Other,Cash,Bulk,2,2.5,Plastic Wrap,2025-04-13
Muffin,Baked Goods,"Cocoa, Baking Powder, Eggs",2,107,64.2,214,False,Individual,2025-04-23,2025-04-26,3,23,Male,Credit Card,Single,1,4.7,Paper Box,2025-04-23
Fruit Tart,Cakes,"Cocoa, Baking Powder, Sugar",3,121,72.6,363,True,Individual,2025-04-11,2025-04-14,3,22,Male,Credit Card,Bulk,2,4.4,Plastic Wrap,2025-04-11
Fruit Tart,Cakes,"Cocoa, Milk, Flour",1,291,174.6,291,True,Family,2025-04-17,2025-04-21,4,38,Female,Credit Card,Bulk,0,3.6,Plastic Wrap,2025-04-17
Chocolate Cake,Baked Goods,"Eggs, Flour, Cocoa",3,111,66.6,333,False,Individual,2025-04-13,2025-04-17,4,58,Other,Debit Card,Single,1,4.7,Paper Box,2025-04-13
Sourdough,Pastries,"Baking Powder, Butter, Milk",1,243,145.8,243,True,Business,2025-04-18,2025-04-23,5,55,Female,Credit Card,Bulk,0,2.1,Paper Box,2025-04-18
Brownie,Baked Goods,"Milk, Sugar, Baking Powder",3,287,172.2,861,True,Family,2025-04-13,2025-04-19,6,39,Other,Cash,Single,0,2.5,Plastic Wrap,2025-04-13
Cheese Pastry,Cakes,"Milk, Baking Powder, Flour",1,290,174.0,290,False,Family,2025-04-11,2025-04-15,4,22,Female,Cash,Single,1,3.7,Cloth Bag,2025-04-11
Cheese Pastry,Pastries,"Baking Powder, Sugar, Butter",1,295,177.0,295,False,Individual,2025-04-10,2025-04-14,4,58,Other,Debit Card,Bulk,1,1.8,Paper Box,2025-04-10
Cheese Pastry,Cakes,"Milk, Flour, Sugar",2,94,56.4,188,False,Business,2025-04-21,2025-04-27,6,59,Other,Credit Card,Single,2,4.5,Plastic Wrap,2025-04-21
Fruit Tart,Baked Goods,"Baking Powder, Cocoa, Butter",3,121,72.6,363,True,Family,2025-04-22,2025-04-28,6,20,Female,Credit Card,Single,0,3.9,Paper Box,2025-04-22
Cheese Pastry,Pastries,"Butter, Cocoa, Eggs",3,257,154.2,771,True,Individual,2025-04-18,2025-04-21,3,36,Female,Cash,Single,1,2.3,Cloth Bag,2025-04-18
Chocolate Cake,Baked Goods,"Cocoa, Eggs, Flour",2,283,169.8,566,True,Business,2025-04-24,2025-04-30,6,56,Male,Debit Card,Bulk,1,3.3,Cloth Bag,2025-04-24
Chocolate Cake,Baked Goods,"Flour, Cocoa, Butter",1,151,90.6,151,True,Business,2025-04-22,2025-04-26,4,40,Female,Cash,Single,2,3.0,Cloth Bag,2025-04-22
Brownie,Pastries,"Cocoa, Milk, Flour",1,298,178.8,298,True,Family,2025-04-21,2025-04-24,3,43,Female,Cash,Bulk,0,2.9,Plastic Wrap,2025-04-21
Croissant,Cakes,"Flour, Eggs, Baking Powder",1,65,39.0,65,True,Business,2025-04-13,2025-04-18,5,57,Female,UPI,Single,1,5.0,Paper Box,2025-04-13
Fruit Tart,Pastries,"Flour, Eggs, Milk",2,92,55.2,184,False,Individual,2025-04-24,2025-04-30,6,53,Female,Credit Card,Single,2,4.5,Cloth Bag,2025-04-24
Brownie,Pastries,"Flour, Cocoa, Milk",1,258,154.8,258,True,Family,2025-04-19,2025-04-22,3,60,Female,Debit Card,Single,0,1.5,Paper Box,2025-04-19
Muffin,Cakes,"Eggs, Milk, Cocoa",2,162,97.2,324,False,Family,2025-04-23,2025-04-27,4,37,Female,UPI,Single,1,2.3,Paper Box,2025-04-23
Croissant,Tarts,"Sugar, Eggs, Butter",2,179,107.4,358,False,Business,2025-04-24,2025-04-27,3,40,Male,Credit Card,Single,0,5.0,Plastic Wrap,2025-04-24
Brownie,Tarts,"Butter, Flour, Eggs",3,164,98.4,492,False,Individual,2025-04-19,2025-04-23,4,21,Other,Credit Card,Bulk,1,4.6,Paper Box,2025-04-19
Vanilla Cupcake,Baked Goods,"Eggs, Flour, Butter",3,118,70.8,354,False,Business,2025-04-22,2025-04-27,5,28,Male,Cash,Bulk,1,2.1,Plastic Wrap,2025-04-22
Brownie,Pastries,"Cocoa, Eggs, Butter",1,152,91.2,152,True,Business,2025-04-15,2025-04-19,4,56,Male,Debit Card,Bulk,0,1.4,Plastic Wrap,2025-04-15
Cheese Pastry,Baked Goods,"Milk, Baking Powder, Flour",3,219,131.4,657,False,Individual,2025-04-22,2025-04-25,3,53,Other,Debit Card,Bulk,1,2.7,Cloth Bag,2025-04-22
Chocolate Cake,Pastries,"Milk, Sugar, Baking Powder",2,276,165.6,552,False,Business,2025-04-10,2025-04-14,4,39,Other,Credit Card,Single,0,4.6,Plastic Wrap,2025-04-10
Croissant,Tarts,"Cocoa, Flour, Butter",3,173,103.8,519,False,Business,2025-04-19,2025-04-23,4,58,Male,Credit Card,Single,0,3.9,Cloth Bag,2025-04-19
Cheese Pastry,Baked Goods,"Milk, Cocoa, Eggs",1,157,94.2,157,False,Family,2025-04-13,2025-04-19,6,41,Other,Debit Card,Bulk,0,1.7,Plastic Wrap,2025-04-13
Cheese Pastry,Baked Goods,"Cocoa, Milk, Baking Powder",1,174,104.4,174,True,Individual,2025-04-10,2025-04-13,3,35,Other,UPI,Single,1,4.6,Cloth Bag,2025-04-10
Fruit Tart,Pastries,"Milk, Eggs, Flour",3,79,47.4,237,False,Family,2025-04-20,2025-04-23,3,43,Female,Debit Card,Bulk,0,4.2,Cloth Bag,2025-04-20
Chocolate Cake,Baked Goods,"Cocoa, Flour, Sugar",1,172,103.2,172,False,Family,2025-04-24,2025-04-27,3,31,Female,Credit Card,Bulk,1,4.5,Paper Box,2025-04-24
Cheese Pastry,Pastries,"Baking Powder, Eggs, Flour",2,210,126.0,420,False,Family,2025-04-17,2025-04-23,6,33,Other,Debit Card,Single,1,4.5,Plastic Wrap,2025-04-17
Muffin,Baked Goods,"Flour, Cocoa, Baking Powder",1,292,175.2,292,False,Individual,2025-04-12,2025-04-15,3,60,Other,UPI,Single,2,2.6,Plastic Wrap,2025-04-12
Cheese Pastry,Pastries,"Baking Powder, Butter, Flour",3,100,60.0,300,False,Family,2025-04-18,2025-04-21,3,51,Other,Debit Card,Bulk,1,2.7,Plastic Wrap,2025-04-18
Muffin,Tarts,"Baking Powder, Cocoa, Flour",1,271,162.6,271,False,Business,2025-04-19,2025-04-23,4,37,Male,Credit Card,Bulk,2,3.2,Plastic Wrap,2025-04-19
Croissant,Cakes,"Milk, Butter, Eggs",3,284,170.4,852,False,Business,2025-04-18,2025-04-24,6,40,Other,UPI,Single,0,3.2,Paper Box,2025-04-18
Brownie,Pastries,"Flour, Sugar, Butter",1,56,33.6,56,True,Family,2025-04-11,2025-04-15,4,36,Other,UPI,Single,0,4.9,Plastic Wrap,2025-04-11
Brownie,Cakes,"Cocoa, Butter, Flour",3,163,97.8,489,True,Business,2025-04-14,2025-04-18,4,34,Other,Cash,Bulk,2,1.4,Cloth Bag,2025-04-14
Fruit Tart,Pastries,"Flour, Butter, Milk",3,207,124.2,621,False,Individual,2025-04-24,2025-04-28,4,30,Male,UPI,Bulk,2,1.1,Plastic Wrap,2025-04-24
Cheese Pastry,Cakes,"Flour, Sugar, Milk",2,195,117.0,390,False,Individual,2025-04-16,2025-04-22,6,55,Female,Credit Card,Single,1,1.8,Plastic Wrap,2025-04-16
Vanilla Cupcake,Cakes,"Milk, Baking Powder, Cocoa",2,233,139.8,466,True,Business,2025-04-15,2025-04-21,6,48,Other,Debit Card,Single,2,2.0,Plastic Wrap,2025-04-15
Croissant,Pastries,"Sugar, Eggs, Baking Powder",2,235,141.0,470,False,Family,2025-04-12,2025-04-17,5,40,Female,Debit Card,Single,1,1.7,Paper Box,2025-04-12
Croissant,Pastries,"Milk, Butter, Baking Powder",3,271,162.6,813,True,Individual,2025-04-20,2025-04-25,5,23,Female,UPI,Bulk,1,4.1,Plastic Wrap,2025-04-20
Brownie,Tarts,"Butter, Flour, Baking Powder",2,286,171.6,572,False,Business,2025-04-20,2025-04-24,4,58,Other,Credit Card,Single,0,3.0,Plastic Wrap,2025-04-20
Sourdough,Pastries,"Butter, Milk, Cocoa",3,228,136.8,684,True,Business,2025-04-23,2025-04-29,6,25,Other,Cash,Single,0,3.5,Paper Box,2025-04-23
Vanilla Cupcake,Cakes,"Eggs, Milk, Flour",3,189,113.4,567,True,Family,2025-04-13,2025-04-17,4,55,Other,UPI,Single,0,1.3,Paper Box,2025-04-13
Sourdough,Cakes,"Milk, Butter, Flour",3,99,59.4,297,True,Individual,2025-04-10,2025-04-16,6,54,Other,Cash,Single,0,3.8,Paper Box,2025-04-10
Croissant,Baked Goods,"Flour, Eggs, Butter",1,152,91.2,152,False,Business,2025-04-22,2025-04-28,6,19,Other,Cash,Single,0,4.7,Paper Box,2025-04-22
Fruit Tart,Tarts,"Eggs, Butter, Milk",3,145,87.0,435,False,Family,2025-04-14,2025-04-17,3,26,Other,Credit Card,Single,2,3.6,Plastic Wrap,2025-04-14
